id;report_id;user_id;cause
1;card Central Missouri;innovate;../fake-data/blob/hipster.txt
2;grow Stravenue;Computer;../fake-data/blob/hipster.txt
3;e-markets Music;Auto Loan Account Ergonomic asymmetric;../fake-data/blob/hipster.txt
4;Electronics Garden solution-oriented;Maine Specialist;../fake-data/blob/hipster.txt
5;Papua New Guinea Brooks;Guinea-Bissau;../fake-data/blob/hipster.txt
6;program;Integration Tasty;../fake-data/blob/hipster.txt
7;programming compress;Montana compelling withdrawal;../fake-data/blob/hipster.txt
8;parse Generic Ergonomic Frozen Pizza;Auto Loan Account matrices Awesome Steel Sausages;../fake-data/blob/hipster.txt
9;Accountability Fantastic Soft Soap;optical programming;../fake-data/blob/hipster.txt
10;Movies;Licensed Tactics;../fake-data/blob/hipster.txt
